model,size,suite,refusal_enabled,refusal_label,task,role,correct,E_count,invalid,total,accuracy_percentage
qwen3,8B,default,0,,class,neutral,7,0,38,45,15.56
qwen3,8B,default,0,,clinical knowledge,neutral,35,0,37,72,48.61
qwen3,8B,default,0,,college biology,neutral,43,0,36,79,54.43
qwen3,8B,default,0,,college chemistry,neutral,19,0,44,63,30.16
qwen3,8B,default,0,,college computer science,neutral,37,0,39,76,48.68
qwen3,8B,default,0,,college mathematics,neutral,21,0,53,74,28.38
qwen3,8B,default,0,,college medicine,neutral,28,0,20,48,58.33
qwen3,8B,default,0,,college physics,neutral,21,0,47,68,30.88
qwen3,8B,default,0,,computer security,neutral,24,0,22,46,52.17
qwen3,8B,default,0,,conceptual physics,neutral,78,0,58,136,57.35
qwen3,8B,default,0,,diff,neutral,14,0,36,50,28.0
qwen3,8B,default,0,,econometrics,neutral,38,0,47,85,44.71
qwen3,8B,default,0,,electrical engineering,neutral,30,0,37,67,44.78
qwen3,8B,default,0,,elementary mathematics,neutral,152,0,152,304,50.0
qwen3,8B,default,0,,formal logic,neutral,37,0,61,98,37.76
qwen3,8B,default,0,,fund,neutral,11,0,56,67,16.42
qwen3,8B,default,0,,global facts,neutral,17,0,67,84,20.24
qwen3,8B,default,0,,high school biology,neutral,97,0,43,140,69.29
qwen3,8B,default,0,,high school chemistry,neutral,55,0,60,115,47.83
qwen3,8B,default,0,,high school computer science,neutral,36,0,26,62,58.06
qwen3,8B,default,0,,high school european history,neutral,21,0,48,69,30.43
qwen3,8B,default,0,,high school geography,neutral,35,0,30,65,53.85
qwen3,8B,default,0,,high school government and politics,neutral,35,0,16,51,68.63
qwen3,8B,default,0,,high school macroeconomics,neutral,112,0,104,216,51.85
qwen3,8B,default,0,,high school mathematics,neutral,58,0,184,242,23.97
qwen3,8B,default,0,,high school microeconomics,neutral,88,0,55,143,61.54
qwen3,8B,default,0,,high school physics,neutral,50,0,77,127,39.37
qwen3,8B,default,0,,high school psychology,neutral,96,0,73,169,56.8
qwen3,8B,default,0,,high school statistics,neutral,65,0,78,143,45.45
qwen3,8B,default,0,,high school us history,neutral,23,0,60,83,27.71
qwen3,8B,default,0,,high school world history,neutral,45,0,39,84,53.57
qwen3,8B,default,0,,human aging,neutral,30,0,56,86,34.88
qwen3,8B,default,0,,human sexuality,neutral,20,0,33,53,37.74
qwen3,8B,default,0,,international law,neutral,18,0,37,55,32.73
qwen3,8B,default,0,,jurisprudence,neutral,16,0,27,43,37.21
qwen3,8B,default,0,,logical fallacies,neutral,40,0,33,73,54.79
qwen3,8B,default,0,,machine learning,neutral,35,0,55,90,38.89
qwen3,8B,default,0,,management,neutral,22,0,15,37,59.46
qwen3,8B,default,0,,marketing,neutral,45,0,30,75,60.0
qwen3,8B,default,0,,matter,neutral,5,0,42,47,10.64
qwen3,8B,default,0,,medical genetics,neutral,36,0,18,54,66.67
qwen3,8B,default,0,,miscellaneous,neutral,131,0,134,265,49.43
qwen3,8B,default,0,,moral disputes,neutral,46,0,93,139,33.09
qwen3,8B,default,0,,nutrition,neutral,100,0,79,179,55.87
qwen3,8B,default,0,,philosophy,neutral,49,0,81,130,37.69
qwen3,8B,default,0,,prehistory,neutral,73,0,72,145,50.34
qwen3,8B,default,0,,professional accounting,neutral,58,0,137,195,29.74
qwen3,8B,default,0,,professional law,neutral,253,0,750,1003,25.22
qwen3,8B,default,0,,professional medicine,neutral,150,0,104,254,59.06
qwen3,8B,default,0,,professional psychology,neutral,140,0,184,324,43.21
qwen3,8B,default,0,,public relations,neutral,16,0,36,52,30.77
qwen3,8B,default,0,,quan,neutral,8,0,24,32,25.0
qwen3,8B,default,0,,security studies,neutral,41,0,46,87,47.13
qwen3,8B,default,0,,sociology,neutral,20,0,32,52,38.46
qwen3,8B,default,0,,stat,neutral,18,0,53,71,25.35
qwen3,8B,default,0,,thermo,neutral,11,0,44,55,20.0
qwen3,8B,default,0,,us foreign policy,neutral,7,0,13,20,35.0
qwen3,8B,default,0,,virology,neutral,26,0,20,46,56.52
qwen3,8B,default,0,,world religions,neutral,20,0,39,59,33.9
