model,size,suite,refusal_enabled,refusal_label,task,role,correct,E_count,invalid,total,accuracy_percentage
llama3,8B,default,0,,high school biology,neutral,82,0,58,140,58.57
llama3,8B,default,0,,high school chemistry,neutral,45,0,70,115,39.13
llama3,8B,default,0,,high school computer science,neutral,25,0,37,62,40.32
llama3,8B,default,0,,high school european history,neutral,19,0,50,69,27.54
llama3,8B,default,0,,high school geography,neutral,30,0,35,65,46.15
llama3,8B,default,0,,high school government and politics,neutral,24,0,27,51,47.06
llama3,8B,default,0,,high school macroeconomics,neutral,83,0,133,216,38.43
llama3,8B,default,0,,high school mathematics,neutral,36,0,206,242,14.88
llama3,8B,default,0,,high school microeconomics,neutral,56,0,87,143,39.16
llama3,8B,default,0,,high school physics,neutral,27,0,100,127,21.26
llama3,8B,default,0,,high school psychology,neutral,88,0,81,169,52.07
llama3,8B,default,0,,high school statistics,neutral,46,0,97,143,32.17
llama3,8B,default,0,,high school us history,neutral,31,0,52,83,37.35
llama3,8B,default,0,,high school world history,neutral,46,0,38,84,54.76
llama3,8B,default,0,,human aging,neutral,35,0,51,86,40.7
llama3,8B,default,0,,human sexuality,neutral,21,0,32,53,39.62
llama3,8B,default,0,,international law,neutral,24,0,31,55,43.64
llama3,8B,default,0,,jurisprudence,neutral,17,0,26,43,39.53
llama3,8B,default,0,,logical fallacies,neutral,38,0,35,73,52.05
llama3,8B,default,0,,machine learning,neutral,28,0,62,90,31.11
llama3,8B,default,0,,management,neutral,19,0,18,37,51.35
llama3,8B,default,0,,marketing,neutral,36,0,39,75,48.0
llama3,8B,default,0,,matter,neutral,7,0,40,47,14.89
llama3,8B,default,0,,medical genetics,neutral,30,0,24,54,55.56
llama3,8B,default,0,,miscellaneous,neutral,113,0,152,265,42.64
llama3,8B,default,0,,moral disputes,neutral,54,0,85,139,38.85
llama3,8B,default,0,,nutrition,neutral,101,0,78,179,56.42
llama3,8B,default,0,,philosophy,neutral,45,0,85,130,34.62
llama3,8B,default,0,,prehistory,neutral,64,0,81,145,44.14
llama3,8B,default,0,,professional accounting,neutral,50,0,145,195,25.64
llama3,8B,default,0,,professional law,neutral,277,0,726,1003,27.62
llama3,8B,default,0,,professional medicine,neutral,140,0,114,254,55.12
llama3,8B,default,0,,professional psychology,neutral,123,0,201,324,37.96
llama3,8B,default,0,,public relations,neutral,21,0,31,52,40.38
llama3,8B,default,0,,quan,neutral,12,0,20,32,37.5
llama3,8B,default,0,,security studies,neutral,40,0,47,87,45.98
llama3,8B,default,0,,sociology,neutral,26,0,26,52,50.0
llama3,8B,default,0,,stat,neutral,21,0,50,71,29.58
llama3,8B,default,0,,thermo,neutral,13,0,42,55,23.64
llama3,8B,default,0,,us foreign policy,neutral,8,0,12,20,40.0
llama3,8B,default,0,,virology,neutral,27,0,19,46,58.7
llama3,8B,default,0,,world religions,neutral,26,0,33,59,44.07
